\lx,\ge,\ps,\bb,\ph,\va,\vc,,
ʔajat,deitar,v,,,,,,
ʔajɯːʔ,homem (pl ʔajɯ̰ːʔ),n,,,,,,
ʔakaːj,caju,n,,,,,,
ʔaɾoːɾ,carará,n,,,,,,
ʔaɾuːm,espécie de banana,n,,,,,,
ʔaʃɔ̰p,Fique quieto!,v imp?,,,,,,
ʔaʃop,fique sentado!,v imp?,,,,,,
ʔawɨp,relâmpago,n,,,,,,
ʔawog,seu abdômen,n,,,,,,
ʔɛːj,tudo bem!,intj?,,,,,,
ʔɛɟɔːh,florescer,v,,,,,,
ʔək,cuia,n,,,,,,
ʔɨ̃ːn,mulher,n,,,,,,
ʔɯm,ficar,v,,,,,,
ʔɯm,esperar,v,,,,,,
ʔoːw,avô,n,,,ʔoːw,"Barbosa 2005, avô",,
ʔʌ̃ɲ,irmã,n,,,ʔãːɲ,"Barbosa 2005, irmã",,
